i_idx,movie_id,title
0,242,Kolya (1996)
1,302,L.A. Confidential (1997)
2,377,Heavyweights (1994)
3,51,Legends of the Fall (1994)
4,346,Jackie Brown (1997)
5,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
6,265,"Hunt for Red October, The (1990)"
7,465,"Jungle Book, The (1994)"
8,451,Grease (1978)
9,86,"Remains of the Day, The (1993)"
10,257,Men in Black (1997)
11,1014,Romy and Michele's High School Reunion (1997)
12,222,Star Trek: First Contact (1996)
13,40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
14,29,Batman Forever (1995)
15,785,Only You (1994)
16,387,"Age of Innocence, The (1993)"
17,274,Sabrina (1995)
18,1042,Just Cause (1995)
19,1184,"Endless Summer 2, The (1994)"
20,392,"Man Without a Face, The (1993)"
21,486,Sabrina (1954)
22,144,Die Hard (1988)
23,118,Twister (1996)
24,1,Toy Story (1995)
25,546,Broken Arrow (1996)
26,95,Aladdin (1992)
27,768,Casper (1995)
28,277,Restoration (1995)
29,234,Jaws (1975)
30,246,Chasing Amy (1997)
31,98,"Silence of the Lambs, The (1991)"
32,193,"Right Stuff, The (1983)"
33,88,Sleepless in Seattle (1993)
34,194,"Sting, The (1973)"
35,1081,Curdled (1996)
36,603,Rear Window (1954)
37,796,Speechless (1994)
38,32,Crumb (1994)
39,16,French Twist (Gazon maudit) (1995)
40,304,Fly Away Home (1996)
41,979,"Trigger Effect, The (1996)"
42,564,Tales from the Hood (1995)
43,327,Cop Land (1997)
44,201,Evil Dead II (1987)
45,1137,Beautiful Thing (1996)
46,241,"Last of the Mohicans, The (1992)"
47,4,Get Shorty (1995)
48,332,Kiss the Girls (1997)
49,100,Fargo (1996)
50,432,Fantasia (1940)
51,322,Murder at 1600 (1997)
52,181,Return of the Jedi (1983)
53,196,Dead Poets Society (1989)
54,679,Conan the Barbarian (1981)
55,384,Naked Gun 33 1/3: The Final Insult (1994)
56,143,"Sound of Music, The (1965)"
57,423,E.T. the Extra-Terrestrial (1982)
58,515,"Boot, Das (1981)"
59,20,Angels and Insects (1995)
60,288,Scream (1996)
61,219,"Nightmare on Elm Street, A (1984)"
62,526,Ben-Hur (1959)
63,919,"City of Lost Children, The (1995)"
64,26,"Brothers McMullen, The (1995)"
65,232,Young Guns (1988)
66,427,To Kill a Mockingbird (1962)
67,512,Wings of Desire (1987)
68,15,Mr. Holland's Opus (1995)
69,1049,House Arrest (1996)
70,416,Old Yeller (1957)
71,165,Jean de Florette (1986)
72,690,Seven Years in Tibet (1997)
73,248,Grosse Pointe Blank (1997)
74,1444,That Darn Cat! (1965)
75,5,Copycat (1995)
76,229,Star Trek III: The Search for Spock (1984)
77,237,Jerry Maguire (1996)
78,480,North by Northwest (1959)
79,54,Outbreak (1995)
80,366,Dangerous Minds (1995)
81,518,Miller's Crossing (1990)
82,403,Batman (1989)
83,111,"Truth About Cats & Dogs, The (1996)"
84,625,"Sword in the Stone, The (1963)"
85,338,Bean (1997)
86,25,"Birdcage, The (1996)"
87,1016,Con Air (1997)
88,154,Monty Python's Life of Brian (1979)
89,275,Sense and Sensibility (1995)
90,1153,Backbeat (1993)
91,498,"African Queen, The (1951)"
92,382,"Adventures of Priscilla, Queen of the Desert, The (1994)"
93,209,This Is Spinal Tap (1984)
94,23,Taxi Driver (1976)
95,294,Liar Liar (1997)
96,208,Young Frankenstein (1974)
97,685,Executive Decision (1996)
98,328,Conspiracy Theory (1997)
99,496,It's a Wonderful Life (1946)
100,132,"Wizard of Oz, The (1939)"
101,174,Raiders of the Lost Ark (1981)
102,96,Terminator 2: Judgment Day (1991)
103,151,Willy Wonka and the Chocolate Factory (1971)
104,307,"Devil's Advocate, The (1997)"
105,648,"Quiet Man, The (1952)"
106,21,Muppet Treasure Island (1996)
107,832,Bogus (1996)
108,514,Annie Hall (1977)
109,789,Swimming with Sharks (1995)
110,485,My Fair Lady (1964)
111,317,In the Name of the Father (1993)
112,195,"Terminator, The (1984)"
113,200,"Shining, The (1980)"
114,385,True Lies (1994)
115,750,Amistad (1997)
116,264,Mimic (1997)
117,245,"Devil's Own, The (1997)"
118,135,2001: A Space Odyssey (1968)
119,1147,My Family (1995)
120,471,Courage Under Fire (1996)
121,658,Pump Up the Volume (1990)
122,140,Homeward Bound: The Incredible Journey (1993)
123,379,Tales From the Crypt Presents: Demon Knight (1995)
124,815,One Fine Day (1996)
125,479,Vertigo (1958)
126,368,Bio-Dome (1996)
127,1211,Blue Sky (1994)
128,1134,Get on the Bus (1996)
129,836,Ninotchka (1939)
130,272,Good Will Hunting (1997)
131,756,Father of the Bride Part II (1995)
132,787,Roommates (1995)
133,14,"Postino, Il (1994)"
134,955,Before Sunrise (1995)
135,419,Mary Poppins (1964)
136,405,Mission: Impossible (1996)
137,504,Bonnie and Clyde (1967)
138,466,Red Rock West (1992)
139,268,Chasing Amy (1997)
140,117,"Rock, The (1996)"
141,273,Heat (1995)
142,559,Interview with the Vampire (1994)
143,794,It Could Happen to You (1994)
144,323,Dante's Peak (1997)
145,177,"Good, The Bad and The Ugly, The (1966)"
146,231,Batman Returns (1992)
147,2,GoldenEye (1995)
148,137,Big Night (1996)
149,1336,Kazaam (1996)
150,164,"Abyss, The (1989)"
151,281,"River Wild, The (1994)"
152,1240,Ghost in the Shell (Kokaku kidotai) (1995)
153,298,Face/Off (1997)
154,443,"Birds, The (1963)"
155,1035,Cool Runnings (1993)
156,79,"Fugitive, The (1993)"
157,258,Contact (1997)
158,455,Jackie Chan's First Strike (1996)
159,755,Jumanji (1995)
160,673,Cape Fear (1962)
161,172,"Empire Strikes Back, The (1980)"
162,1217,Assassins (1995)
163,719,Canadian Bacon (1994)
164,1267,Clockers (1995)
165,930,Chain Reaction (1996)
166,216,When Harry Met Sally... (1989)
167,1079,Joe's Apartment (1996)
168,452,Jaws 2 (1978)
169,61,Three Colors: White (1994)
170,48,Hoop Dreams (1994)
171,360,Wonderland (1997)
172,77,"Firm, The (1993)"
173,476,"First Wives Club, The (1996)"
174,483,Casablanca (1942)
175,748,"Saint, The (1997)"
176,220,"Mirror Has Two Faces, The (1996)"
177,255,My Best Friend's Wedding (1997)
178,280,Up Close and Personal (1996)
179,202,Groundhog Day (1993)
180,408,"Close Shave, A (1995)"
181,235,Mars Attacks! (1996)
182,228,Star Trek: The Wrath of Khan (1982)
183,1098,Flirting With Disaster (1996)
184,347,Wag the Dog (1997)
185,178,12 Angry Men (1957)
186,478,"Philadelphia Story, The (1940)"
187,688,Leave It to Beaver (1997)
188,10,Richard III (1995)
189,127,"Godfather, The (1972)"
190,106,Diabolique (1996)
191,69,Forrest Gump (1994)
192,944,Renaissance Man (1994)
193,790,Tommy Boy (1995)
194,1091,Pete's Dragon (1977)
195,214,Pink Floyd - The Wall (1982)
196,1028,Grumpier Old Men (1995)
197,554,Waterworld (1995)
198,109,Mystery Science Theater 3000: The Movie (1996)
199,171,Delicatessen (1991)
200,318,Schindler's List (1993)
201,568,Speed (1994)
202,842,Pollyanna (1960)
203,65,What's Eating Gilbert Grape (1993)
204,591,Primal Fear (1996)
205,401,"Brady Bunch Movie, The (1995)"
206,339,Mad City (1997)
207,746,Real Genius (1985)
208,68,"Crow, The (1994)"
209,7,Twelve Monkeys (1995)
210,1018,Tie Me Up! Tie Me Down! (1990)
211,218,Cape Fear (1991)
212,623,Angels in the Outfield (1994)
213,334,U Turn (1997)
214,344,"Apostle, The (1997)"
215,145,"Lawnmower Man, The (1992)"
216,56,Pulp Fiction (1994)
217,89,Blade Runner (1982)
218,141,"20,000 Leagues Under the Sea (1954)"
219,576,Cliffhanger (1993)
220,133,Gone with the Wind (1939)
221,153,"Fish Called Wanda, A (1988)"
222,813,"Celluloid Closet, The (1995)"
223,872,Love Jones (1997)
224,146,Unhook the Stars (1996)
225,507,"Streetcar Named Desire, A (1951)"
226,367,Clueless (1995)
227,468,Rudy (1993)
228,595,"Fan, The (1996)"
229,11,Seven (Se7en) (1995)
230,520,"Great Escape, The (1963)"
231,82,Jurassic Park (1993)
232,501,Dumbo (1941)
233,3,Four Rooms (1995)
234,695,Kicking and Screaming (1995)
235,198,Nikita (La Femme Nikita) (1990)
236,189,"Grand Day Out, A (1992)"
237,767,"Addiction, The (1995)"
238,705,Singin' in the Rain (1952)
239,64,"Shawshank Redemption, The (1994)"
240,357,One Flew Over the Cuckoo's Nest (1975)
241,484,"Maltese Falcon, The (1941)"
242,508,"People vs. Larry Flynt, The (1996)"
243,303,Ulee's Gold (1997)
244,215,Field of Dreams (1989)
245,749,"MatchMaker, The (1997)"
246,829,Fled (1996)
247,204,Back to the Future (1985)
248,1295,Kicked in the Head (1997)
249,33,Desperado (1995)
250,160,Glengarry Glen Ross (1992)
251,321,Mother (1996)
252,343,Alien: Resurrection (1997)
253,227,Star Trek VI: The Undiscovered Country (1991)
254,191,Amadeus (1984)
255,903,Afterglow (1997)
256,183,Alien (1979)
257,724,Circle of Friends (1995)
258,430,Duck Soup (1933)
259,1197,"Family Thing, A (1996)"
260,134,Citizen Kane (1941)
261,751,Tomorrow Never Dies (1997)
262,212,"Unbearable Lightness of Being, The (1988)"
263,256,When the Cats Away (Chacun cherche son chat) (1996)
264,662,Somewhere in Time (1980)
265,984,Shadow Conspiracy (1997)
266,1067,Bottle Rocket (1996)
267,410,Kingpin (1996)
268,879,"Peacemaker, The (1997)"
269,271,Starship Troopers (1997)
270,1086,It's My Party (1995)
271,649,Once Upon a Time in America (1984)
272,951,"Indian in the Cupboard, The (1995)"
273,197,"Graduate, The (1967)"
274,678,Volcano (1997)
275,199,"Bridge on the River Kwai, The (1957)"
276,709,Strictly Ballroom (1992)
277,169,"Wrong Trousers, The (1993)"
278,597,Eraser (1996)
279,1393,Stag (1997)
280,333,"Game, The (1997)"
281,1115,Twelfth Night (1996)
282,577,Coneheads (1993)
283,378,Miracle on 34th Street (1994)
284,425,Bob Roberts (1992)
285,959,Dazed and Confused (1993)
286,1224,"Scout, The (1994)"
287,1017,Trees Lounge (1996)
288,175,Brazil (1985)
289,286,"English Patient, The (1996)"
290,558,Heavenly Creatures (1994)
291,66,While You Were Sleeping (1995)
292,206,Akira (1988)
293,402,Ghost (1990)
294,640,"Cook the Thief His Wife & Her Lover, The (1989)"
295,522,Down by Law (1986)
296,62,Stargate (1994)
297,12,"Usual Suspects, The (1995)"
298,291,Absolute Power (1997)
299,462,Like Water For Chocolate (Como agua para chocolate) (1992)
300,612,Lost Horizon (1937)
301,758,Lawnmower Man 2: Beyond Cyberspace (1996)
302,845,That Thing You Do! (1996)
303,163,"Return of the Pink Panther, The (1974)"
304,1451,Foreign Correspondent (1940)
305,250,"Fifth Element, The (1997)"
306,823,Mulholland Falls (1996)
307,186,"Blues Brothers, The (1980)"
308,731,"Corrina, Corrina (1994)"
309,71,"Lion King, The (1994)"
310,781,French Kiss (1995)
311,176,Aliens (1986)
312,1181,"Low Down Dirty Shame, A (1994)"
313,78,Free Willy (1993)
314,436,"American Werewolf in London, An (1981)"
315,631,"Crying Game, The (1992)"
316,716,Home for the Holidays (1995)
317,188,Full Metal Jacket (1987)
318,699,Little Women (1994)
319,604,It Happened One Night (1934)
320,97,Dances with Wolves (1990)
321,173,"Princess Bride, The (1987)"
322,460,"Crossing Guard, The (1995)"
323,715,To Die For (1995)
324,17,From Dusk Till Dawn (1996)
325,315,Apt Pupil (1998)
326,505,Dial M for Murder (1954)
327,279,Once Upon a Time... When We Were Colored (1995)
328,80,Hot Shots! Part Deux (1993)
329,238,Raising Arizona (1987)
330,60,Three Colors: Blue (1993)
331,325,Crash (1996)
332,407,Spy Hard (1996)
333,531,Shine (1996)
334,587,"Hour of the Pig, The (1993)"
335,892,Flubber (1997)
336,1047,Multiplicity (1996)
337,47,Ed Wood (1994)
338,217,Bram Stoker's Dracula (1992)
339,259,George of the Jungle (1997)
340,596,"Hunchback of Notre Dame, The (1996)"
341,960,Naked (1993)
342,211,M*A*S*H (1970)
343,938,"Smile Like Yours, A (1997)"
344,1060,"Adventures of Pinocchio, The (1996)"
345,404,Pinocchio (1940)
346,305,"Ice Storm, The (1997)"
347,210,Indiana Jones and the Last Crusade (1989)
348,278,Bed of Roses (1996)
349,770,Devil in a Blue Dress (1995)
350,252,"Lost World: Jurassic Park, The (1997)"
351,156,Reservoir Dogs (1992)
352,1110,Tank Girl (1995)
353,350,Fallen (1998)
354,431,Highlander (1986)
355,475,Trainspotting (1996)
356,182,GoodFellas (1990)
357,50,Star Wars (1977)
358,365,Powder (1995)
359,187,"Godfather: Part II, The (1974)"
360,289,Evita (1996)
361,185,Psycho (1960)
362,712,Tin Men (1987)
363,94,Home Alone (1990)
364,742,Ransom (1996)
365,762,Beautiful Girls (1996)
366,732,Dave (1993)
367,168,Monty Python and the Holy Grail (1974)
368,550,Die Hard: With a Vengeance (1995)
369,849,Days of Thunder (1990)
370,406,Thinner (1996)
371,150,Swingers (1996)
372,869,Fools Rush In (1997)
373,184,Army of Darkness (1993)
374,371,"Bridges of Madison County, The (1995)"
375,720,First Knight (1995)
376,873,Picture Perfect (1997)
377,381,Muriel's Wedding (1994)
378,922,Dead Man (1995)
379,57,Priest (1994)
380,306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
381,370,Mary Reilly (1996)
382,249,Austin Powers: International Man of Mystery (1997)
383,721,Mallrats (1995)
384,611,Laura (1944)
385,142,Bedknobs and Broomsticks (1971)
386,943,Killing Zoe (1994)
387,126,"Spitfire Grill, The (1996)"
388,824,"Great White Hype, The (1996)"
389,8,Babe (1995)
390,58,Quiz Show (1994)
391,680,Kull the Conqueror (1997)
392,741,"Last Supper, The (1995)"
393,1061,"Evening Star, The (1996)"
394,448,"Omen, The (1976)"
395,900,Kundun (1997)
396,941,With Honors (1994)
397,905,Great Expectations (1998)
398,1497,"Line King: Al Hirschfeld, The (1996)"
399,55,"Professional, The (1994)"
400,744,Michael Collins (1996)
401,642,"Grifters, The (1990)"
402,1015,Shiloh (1997)
403,121,Independence Day (ID4) (1996)
404,301,In & Out (1997)
405,81,"Hudsucker Proxy, The (1994)"
406,284,Tin Cup (1996)
407,740,Jane Eyre (1996)
408,22,Braveheart (1995)
409,864,My Fellow Americans (1996)
410,1099,"Red Firecracker, Green Firecracker (1994)"
411,961,Orlando (1993)
412,812,Andre (1994)
413,240,Beavis and Butt-head Do America (1996)
414,376,Houseguest (1994)
415,931,"Island of Dr. Moreau, The (1996)"
416,717,"Juror, The (1996)"
417,399,"Three Musketeers, The (1993)"
418,1039,Hamlet (1996)
419,1114,Faithful (1996)
420,292,Rosewood (1997)
421,561,Mary Shelley's Frankenstein (1994)
422,901,Mr. Magoo (1997)
423,70,Four Weddings and a Funeral (1994)
424,417,"Parent Trap, The (1961)"
425,809,Rising Sun (1993)
426,540,Money Train (1995)
427,293,Donnie Brasco (1997)
428,497,Bringing Up Baby (1938)
429,1462,"Thieves (Voleurs, Les) (1996)"
430,1246,Bushwhacked (1995)
431,655,Stand by Me (1986)
432,13,Mighty Aphrodite (1995)
433,588,Beauty and the Beast (1991)
434,409,Jack (1996)
435,739,Pretty Woman (1990)
436,661,High Noon (1952)
437,665,Alien 3 (1992)
438,692,"American President, The (1995)"
439,439,Amityville: A New Generation (1993)
440,632,Sophie's Choice (1982)
441,1198,Purple Noon (1960)
442,609,Father of the Bride (1950)
443,225,101 Dalmatians (1996)
444,128,Supercop (1992)
445,866,Michael (1996)
446,295,Breakdown (1997)
447,49,I.Q. (1994)
448,626,So Dear to My Heart (1949)
449,707,Enchanted April (1991)
450,586,Terminal Velocity (1994)
451,593,Stalingrad (1993)
452,147,"Long Kiss Goodnight, The (1996)"
453,1220,Higher Learning (1995)
454,492,East of Eden (1955)
455,620,"Chamber, The (1996)"
456,161,Top Gun (1986)
457,1070,Living in Oblivion (1995)
458,449,Star Trek: The Motion Picture (1979)
459,948,Booty Call (1997)
460,509,My Left Foot (1989)
461,870,Touch (1997)
462,39,Strange Days (1995)
463,1100,What Happened Was... (1994)
464,820,Space Jam (1996)
465,660,Fried Green Tomatoes (1991)
466,1022,"Fast, Cheap & Out of Control (1997)"
467,120,Striptease (1996)
468,780,Dumb & Dumber (1994)
469,44,Dolores Claiborne (1994)
470,686,"Perfect World, A (1993)"
471,28,Apollo 13 (1995)
472,729,Nell (1994)
473,52,"Madness of King George, The (1994)"
474,230,Star Trek IV: The Voyage Home (1986)
475,506,Rebel Without a Cause (1955)
476,566,Clear and Present Danger (1994)
477,774,"Prophecy, The (1995)"
478,1003,That Darn Cat! (1997)
479,433,Heathers (1989)
480,99,Snow White and the Seven Dwarfs (1937)
481,1288,Denise Calls Up (1995)
482,190,Henry V (1989)
483,1010,Basquiat (1996)
484,877,Excess Baggage (1997)
485,487,Roman Holiday (1953)
486,1052,Dracula: Dead and Loving It (1995)
487,287,Marvin's Room (1996)
488,659,Arsenic and Old Lace (1944)
489,927,"Flower of My Secret, The (Flor de mi secreto, La) (1995)"
490,696,City Hall (1996)
491,269,"Full Monty, The (1997)"
492,179,"Clockwork Orange, A (1971)"
493,440,Amityville II: The Possession (1982)
494,806,Menace II Society (1993)
495,572,Blown Away (1994)
496,654,Chinatown (1974)
497,324,Lost Highway (1997)
498,736,Shadowlands (1993)
499,92,True Romance (1993)
500,461,Smoke (1995)
501,129,Bound (1996)
502,9,Dead Man Walking (1995)
503,152,Sleeper (1973)
504,233,Under Siege (1992)
505,589,"Wild Bunch, The (1969)"
506,203,Unforgiven (1992)
507,1034,"Quest, The (1996)"
508,923,Raise the Red Lantern (1991)
509,463,"Secret of Roan Inish, The (1994)"
510,122,"Cable Guy, The (1996)"
511,310,"Rainmaker, The (1997)"
512,285,Secrets & Lies (1996)
513,447,Carrie (1976)
514,412,"Very Brady Sequel, A (1996)"
515,1428,SubUrbia (1997)
516,977,"Substitute, The (1996)"
517,1065,Koyaanisqatsi (1983)
518,421,William Shakespeare's Romeo and Juliet (1996)
519,937,"Thousand Acres, A (1997)"
520,583,Romeo Is Bleeding (1993)
521,110,Operation Dumbo Drop (1995)
522,251,Shall We Dance? (1996)
523,831,Escape from L.A. (1996)
524,543,"Misérables, Les (1995)"
525,926,Down Periscope (1996)
526,155,Dirty Dancing (1987)
527,53,Natural Born Killers (1994)
528,393,Mrs. Doubtfire (1993)
529,91,"Nightmare Before Christmas, The (1993)"
530,477,Matilda (1996)
531,472,Dragonheart (1996)
532,761,Nick of Time (1995)
533,1286,Shall We Dance? (1937)
534,93,Welcome to the Dollhouse (1995)
535,644,"Thin Blue Line, The (1988)"
536,982,Maximum Risk (1996)
537,491,"Adventures of Robin Hood, The (1938)"
538,511,Lawrence of Arabia (1962)
539,397,Striking Distance (1993)
540,162,On Golden Pond (1981)
541,513,"Third Man, The (1949)"
542,375,Showgirls (1995)
543,38,"Net, The (1995)"
544,418,Cinderella (1950)
545,858,Amityville: Dollhouse (1996)
546,131,Breakfast at Tiffany's (1961)
547,87,Searching for Bobby Fischer (1993)
548,725,Exit to Eden (1994)
549,72,"Mask, The (1994)"
550,663,Being There (1979)
551,1133,Escape to Witch Mountain (1975)
552,125,Phenomenon (1996)
553,1248,Blink (1994)
554,354,"Wedding Singer, The (1998)"
555,105,Sgt. Bilko (1996)
556,73,Maverick (1994)
557,239,Sneakers (1992)
558,860,"Believers, The (1987)"
559,1046,Malice (1993)
560,1178,Major Payne (1994)
561,523,Cool Hand Luke (1967)
562,634,Microcosmos: Le peuple de l'herbe (1996)
563,1245,Gridlock'd (1997)
564,974,Eye for an Eye (1996)
565,619,Extreme Measures (1996)
566,107,Moll Flanders (1996)
567,213,"Room with a View, A (1986)"
568,319,Everyone Says I Love You (1996)
569,963,Some Folks Call It a Sling Blade (1993)
570,875,She's So Lovely (1997)
571,180,Apocalypse Now (1979)
572,1033,Homeward Bound II: Lost in San Francisco (1996)
573,380,Star Trek: Generations (1994)
574,59,Three Colors: Red (1994)
575,1078,Oliver & Company (1988)
576,585,Son in Law (1993)
577,148,"Ghost and the Darkness, The (1996)"
578,683,Rocket Man (1997)
579,454,Bastard Out of Carolina (1996)
580,737,Sirens (1994)
581,524,"Great Dictator, The (1940)"
582,995,"Kiss Me, Guido (1997)"
583,616,Night of the Living Dead (1968)
584,945,Charade (1963)
585,299,Hoodlum (1997)
586,792,Bullets Over Broadway (1994)
587,708,"Sex, Lies, and Videotape (1989)"
588,950,Georgia (1995)
